mineral,date,data_transformation,obs_value
Copper,2010-03,INDEX,153.3913746235184
Copper,2010-04,INDEX,158.7921194253662
Copper,2010-05,INDEX,140.5772819503243
Copper,2010-06,INDEX,133.558689227816
Copper,2010-07,INDEX,138.6752346238003
Copper,2010-08,INDEX,150.0168557821525
Copper,2010-09,INDEX,158.7870537699646
Copper,2010-10,INDEX,170.2945065001436
Copper,2010-11,INDEX,173.7592169263768
Copper,2010-12,INDEX,188.0248562161737
Copper,2011-01,INDEX,195.8381444507599
Copper,2011-02,INDEX,202.9816289843841
Copper,2011-03,INDEX,195.2251219953967
Copper,2011-04,INDEX,194.8017627124621
Copper,2011-05,INDEX,183.4811667474973
Copper,2011-06,INDEX,186.2580796689532
Copper,2011-07,INDEX,198.2470753579715
Copper,2011-08,INDEX,184.8434312019551
Copper,2011-09,INDEX,170.5076264153509
Copper,2011-10,INDEX,151.8970065216951
Copper,2011-11,INDEX,155.7350547505696
Copper,2011-12,INDEX,155.2800795257876
Copper,2012-01,INDEX,165.6139387316594
Copper,2012-02,INDEX,173.4113797019478
Copper,2012-03,INDEX,174.0132000174814
Copper,2012-04,INDEX,170.2074958547132
Copper,2012-05,INDEX,162.224229352156
Copper,2012-06,INDEX,152.5974937029988
Copper,2012-07,INDEX,155.8015852477799
Copper,2012-08,INDEX,154.284923351726
Copper,2012-09,INDEX,166.1444723697762
Copper,2012-10,INDEX,165.6163204997772
Copper,2012-11,INDEX,158.4098141787651
Copper,2012-12,INDEX,163.6535477016415
Copper,2013-01,INDEX,165.4459394995225
Copper,2013-02,INDEX,165.5935671712271
Copper,2013-03,INDEX,157.2008266522662
Copper,2013-04,INDEX,148.3425238332445
Copper,2013-05,INDEX,148.9085255074898
Copper,2013-06,INDEX,143.8041290138282
Copper,2013-07,INDEX,141.8814057641143
Copper,2013-08,INDEX,147.6253373011448
Copper,2013-09,INDEX,147.0710743411943
Copper,2013-10,INDEX,147.9698749454318
